套件	耗时秒
customer-service-matrix	1
working-memory	0
business-hours	0
intent-guards	1
quote-polish	0
silent-handoff	0
human-handoff	0
after-sales-handoff	0
identity-links	0
entitlements	1
tenant-kb	0
finance-core	0
finance-goals	0
stored-value	0
schedule-week	0
special-dates	1
customer-profile	0
staff-portal	0
admin-accounts	0
pricing-model	0
membership-config	0
customer-import	1
tenant-hygiene	0
tenant-timezone	0
deposit-config	0
message-templates	0
settlement	1
daily-close	1
salary-v2	0
schedule-v2	0
finance-trend	0
finance-lock	0
perf-viz	1
coupon-settle	0
audit-fix	0
scan-sign	0
double-sheet	1
auth-surface	7
currency-scan	0
settle-stress	3
sign-stability	0
noshow-aftersales	6
demo-seed-guard	1
card-refund	1
amend-linkage	0
ledger-guards	0
backend-gate	0
hero-slides	0
cash-notes	1
mini-money-inputs	0
image-placeholder	0
deposit-audit	0
web-settlement	0
cross-end-effect	1
mini-account-adjust	0
today-board	0
dashboard-pulse	0
dashboard-home	0
hours-gate	0
crossend-cta	0
tab-colors	0
color-usage	1
token-entry	0
danger-cmd	0
notify-scheduler	0
quote-state	0
ui-spec	0
observe-fixes	1
file-ratchet	0
delivery-evidence	0
store-name	0
correction-reason	2
credential-scan	4
exit-code	0
fixture-front-door	0
wechat-stub	1
mini-phone	1
booking-cancel	1
identity-claim	1
customer-paths	1
coupon-status	1
web-not-signup	1
import-phone-guard	1
bench-selfguard	1
user-write-auth	41
env-inventory	1
backup-wal	0
secret-output	1
restore-fingerprint	0
demo-gate-scope	1
demo-gate-coverage	0
frontend-routes	0
login-entries	0
db-target-guard	0
empty-pill	0
untouched-proof	1
display-text	0
tenant-ownership	1
tenant-explicit	1
identity-tenant	0
version-fingerprint	0
tenant-fill-trigger	0
conversation-log	0
ai-gate	1
ai-safety-lines	0
ai-fact-gate	0
booking-intake	1
turn-classify	0
turn-answer	1
ai-review	0
quote-tenant	0
conversation-tenant	0
mini-ai-same-outlet	0
platform-login	0
mp-home-owner	1
v4-five-fixes	1
repeat-guard	0
merge-window	20
three-stores	0
tier-label	0
native-dialog	0
demo-mark	0
txn-rollback	1
store-jury	2
auto-return	0
schema-consistency	1
perf-base-migration	6
tenant-isolation	0
